id Age Error Depth Thickness Outlier1 Outlier2 Type
KIA779 6150 50 38.5 0 0.05 0.001 1
KIA13451 11500 70 152 0 0.05 0.001 1
KIA13452 11640 70 160 0 0.05 0.001 1
KIA780 11950 110 168.5 0 0.05 0.001 1
KIA13453 14850 90 170 0 0.05 0.001 1
KIA13454 11960 80 180 0 0.05 0.001 1
KIA13455 12190 80 190 0 0.05 0.001 1
KIA781/2 12575 100 208.5 0 0.05 0.001 1
KIA13456 12320 90 230 0 0.05 0.001 1
KIA13627 13210 70 252 0 0.05 0.001 1
KIA783/4 13000 110 288.5 0 0.05 0.001 1
KIA13628 13260 70 291.5 0 0.05 0.001 1
KIA13629 13660 80 297.5 0 0.05 0.001 1
KIA13630 13680 80 309.5 0 0.05 0.001 1
KIA785 19460 210 542.5 1 0.05 0.001 1
KIA786 20040 220 542.5 1 0.05 0.001 1
KIA787 22810 280 648 0 0.05 0.001 1
KIA788 27980 520 818.5 0 0.05 0.001 1
KIA13631 32530 480 940 0 0.05 0.001 1
KIA789 29000 590 949 0 0.05 0.001 1
KIA790/1 31040 690 1019 0 0.05 0.001 1
