id	Age	Error	Depth	Thickness	Outlier1	Outlier2	Type
SUERC-3299	7623	29	134	0	0.05	0.001	1
SUERC-3300	5929	24	182.5	0	0.05	0.001	1
SUERC-3302	11032	39	196.5	0	0.05	0.001	1
SUERC-3303	12551	46	208.5	0	0.05	0.001	1
SUERC-3306	11950	43	228.5	0	0.05	0.001	1
SUERC-3287	14530	58	244.5	0	0.05	0.001	1
SUERC-3307	15118	64	276.5	0	0.05	0.001	1
SUERC-3308	15518	63	302.5	0	0.05	0.001	1
SUERC-3309	15174	60	324.5	0	0.05	0.001	1
SUERC-3288	17130	77	356.5	0	0.05	0.001	1
SUERC-3289	18233	87	392.5	0	0.05	0.001	1
SUERC-3290	18665	89	412.5	0	0.05	0.001	1
SUERC-3292	19128	94	436.5	0	0.05	0.001	1
SUERC-2278	20193	118	478	0	0.05	0.001	1
SUERC-2279	20931	129	528.5	0	0.05	0.001	1
SUERC-2275	21565	128	570.5	0	0.05	0.001	1
SUERC-2274	22234	147	602.5	0	0.05	0.001	1
SUERC-3293	24074	168	648.5	0	0.05	0.001	1
SUERC-3296	25312	195	674	0	0.05	0.001	1
SUERC-3311	25863	208	690.5	0	0.05	0.001	1
SUERC-3312	25928	209	698.5	0	0.05	0.001	1
SUERC-3313	28526	287	746.5	0	0.05	0.001	1
SUERC-3316	29592	326	766.5	0	0.05	0.001	1
SUERC-3317	32426	462	832.5	0	0.05	0.001	1
SUERC-3318	35613	684	852.5	0	0.05	0.001	1
							
							
							
